English,日本語
came,来る
go,行く
bring,持ってくる、連れてくる、もたらす
take,持っていく、連れていく、乗っていく、かかる
look,見える
have,持っている、食べる、飲む
keep,にしておく、のままでいる
get,手に入れる、着く、行く
make,作る
ask,尋ねる、頼む
math,数学
science,科学、理科
language,言語
question,質問
lesson,レッスン、授業、課、教訓
test,テスト、試験、検査
idea,考え、アイディア
news,知らせ、ニュース
group,集団、グループ
member,一員、メンバ
large,大きい、広い
small,小さい、狭い
long,長い
tall,背の高い
short,短い、低い
high,高い
low,低い
great,偉大な、大きな
kind,親切な、優しい
clean,きれいな、清潔な
cry,泣く、叫ぶ
smile,微笑む
feel,感じる
enjoy,楽しむ
like,好きである
love,愛する、大好きである
give,与える、あげる
think,思う、考える
want,したい、ほしい
hope,望む、願う
movie,映画
phone,電話
bath,風呂
fun,楽しみ
trip,旅行
plan,予定、計画
seat,座席
vacation,休暇
village,村
farm,農場
fast,速い
slow,遅い
early,早い
late,遅れた
easy,簡単な、容易な
difficult,難しい
same,同じ
different,異なる、様々な
strong,強い、丈夫な
weak,弱い、もろい
drink,飲む
eat,食べる
cook,作る、料理する
fly,飛ぶ、飛行機で行く
jump,跳ぶ、はねる
move,働く
walk,歩く、散歩する
run,走る
swim,泳ぐ
sing,歌う
shopping,買い物
store,店
earth,地球、地面、土
fire,火、火事
land,陸、土地
plant,植物、工場
wind,風
air,空気、空中
light,光、明かり
festival,祭り、催し物
meet,会う、出迎える
join,加わる、つながる
welcome,歓迎する
speak,話す
talk,話す、話し合う
say,言う
tell,言う、話す、教える
call,呼ぶ、電話する、呼び声、通話
stand,立っている、立つ
sit,座る、座っている
nice,よい、すてきな、楽しい、親切な
wonderful,素晴らしい、素敵な
fine,素晴らしい、晴れた、元気な
cloudy,曇った
rainy,雨の
sunny,晴れ渡った、日野峪輝
hot,熱い、暑い
cold,寒い、冷たい、冷酷な
warm,暖かい、温かい
cool,涼しい、ひんやりした、冷静な、かっこいい
ago,前に
already,すでに、もう
yet,まだ、もう
just,たった今、ちょうど
then,そのとき、そのころ、それから
still,まだ、今もなお
together,いっしょに
really,本当に
soon,もうすぐ、間もなく
well,じょうずに、十分に、よく、さて、ところで
leave,去る、出発する、置き忘れる、のままにする
visit,訪ねる、訪れる
return,戻る、返す、戻す、帰宅、返却
wait,待つ
stay,とどまる、滞在する
live,住む、暮らす、生きる
die,死ぬ
grow,成長する、大きくなる
become,なる、似合う
help,手伝う、助ける
size,大きさ、サイズ
way,方法、道
date,日付
place,場所
life,命、生命、生活、人生
person,人
heart,心、心臓
job,仕事、職
police,警察
war,戦争
learn,習得する、学ぶ
know,知っている
understand,理解する
mean,意味する、表す
hear,聞こえる、耳に入る、聞く
listen,聞く
see,見える、見る、会う
watch,見る
show,見せる、示す
answer,答える
soft,やわらかい、穏やかな
hard,かたい、難しい
heavy,重い、大きい、すごい
light,軽い、少ない、小さい
right,正しい、右の、親切な
wrong,間違った
busy,忙しい
free,自由な、ひまな、無料の
sad,悲しい
sorry,気の毒で、すまなく思って
worry,心配する
sleep,眠る
wear,着ている、身に着けている
work,働く、勉強する、機能する
play,する、遊ぶ、劇、遊び
dream,夢見る
study,勉強する、研究する
teach,教える
remember,覚えている、思い出す
forget,忘れる
photo,写真
speech,演説、スピーチ
wall,壁
corner,角
front,前
side,側、側面
line,線
number,番号、数
part,部分、役割
point,点、論点、地点、点数
write,書く、手紙を書く
read,読む、読書をする
find,見つける、わかる
lose,なくす、失う
sell,売る、売れる
buy,買う
send,送る、送信する
build,建てる
carry,運ぶ、持ち歩く
touch,触る、触れる
pretty,かわいい、きれいな
beautiful,美しい、きれいな
famous,有名な
popular,人気のある
lucky,運が良い
both,両方の
each,それぞれの
another,もう一つの
other,他の、もう一方の
next,次の、隣の
catch,つかむ、捕まえる
throw,投げる
open,聞ける、聞く
close,閉める、閉まる
break,壊す、壊れる
cut,切る
fall,落ちる
turn,回す、回る、曲がる、向きを変える、回転、順番
use,使う
happen,起こる
most,大部分の、たいていの
few,小数の
little,少量の、小さい、ほとんどない
interestedc,興味がある
interesting,興味深い、面白い
ready,用意ができて
such,そのような
useful,役に立つ
important,重要な
sure,確信して
also,もまた、その上
always,いつも、必ず
often,しばしば、よく
only,だけ、たった、ほんの、唯一の
sometimes,ときどき
usually,たいてい、いつもは
again,もう一度、再び
away,離れて
back,戻って、後ろへ、背中、後ろ
home,自宅へ、故郷へ
change,変える、変わる
thank,感謝する、お礼を言う
need,必要とする
hold,持っている、つかんでいる、開く
put,置く
try,しようとする
begin,し始める
start,始める、始まる、出発する
stop,止める、やめる
finish,終える
among,３つ以上の間に
between,２つの間に
near,近くに
across,横切って、向こう側に
through,通り抜けて
over,上に、覆って、超えて
understand,下に、満たない
into,中へ
after,した後に
before,する前に
spend,使う、費やす、かける、過ごす
save,救う、救助する、貯める
believe,信じる
decide,決める
care,気にする、心配する、世話、注意
agree,同意する、賛成する
draw,描く、引く
paint,塗装する、描く
mail,郵便、郵便物
address,住所、宛先
top,頂上、頂点
end,終わり、最後
order,順番、命令
half,半分
center,中心、中心地
circle,円、輪
square,正方形、四角形
peace,平和
history,歴史
future,未来、将来
cantury,世紀
key,かぎ、手がかり
hole,穴
gift,贈り物
holiday,祝日、休暇
tour,旅行、ツアー
flight,飛行、便
afraid,恐れて、怖がって
tired,疲れて、飽きて
angry,起こって、腹を立てて
excited,わくわくして、興奮して
exciting,ワクワクするような、興奮させる
glad,うれしい、喜んで
poor,貧しい
rich,裕福な、金持ちの、豊富な
dry,乾いた、乾燥した
wet,ぬれた、湿った
hit,打つ、たたく
win,勝つ、優勝する
cover,覆う、包む
hurt,ケガする、傷つける
fight,戦う、けんかする
kill,殺す
pass,通り過ぎる
travel,旅行する
arrive,到着する
reach,着く、達する
style,様式、やり方、ほっほう
kind,種類
type,型、タイプ、種類
race,レース、競争、人種
age,年
kid,子供
exam,試験
problem,問題
trouble,困りごと、トラブル
reason,理由
purpose,目的
result,結果
smell,におい、香り
taste,味、風味、センス、シュミ
oil,油、オイル、石油
dish,料理、盛り皿
glass,グラス、コップ
meat,肉
vegitable,野菜
able,することができる
real,実在の、現実の、本当の
true,本当の、真実の
clear,明かな、わかりやすい
quiet,静かな、おとなしい
alone,一人で、孤独で
sick,病気で、病気の
dead,死んだ、枯れた
human,人類の、人間の
close,近い、密接な
ride,乗る
miss,しそこなう
hurry,急ぐ、急がせる
drop,落とす
respect,尊敬する
follow,後についていく
communicate,連絡しあう、意思を通じあう、伝達する
share,共有する、分けあう
explain,説明する
enter,入る、入学する
market,市場
price,価格
space,スペース、空間
planet,惑星
field,畑、遊草地、競技場、分野
forest,森、森林
grass,草、芝生
island,島
nature,自然、性質
oceansite,大洋、海洋、海
state,状態、州、国家
chance,機会、チャンス、見込み
rule,規則、ルール
control,制御、抑制、支配
art,芸術、美術、技術
culture,文化
mind,心、精神
view,意見、考え、見方、眺め
opinion,意見、考え
sweet,甘い、優しい
delicious,とてもおいしい
natural,当然の、自然の、生まれつきの
strange,奇妙な、変な、見知らぬ
bright,明るい、輝いている、頭の良い
dark,暗い、濃い、暗闇
deep,深い、深く
wide,広い、広く
round,丸い、円形の
straight,まっすぐな
easily,簡単に、楽に
carefully,注意深く、丁寧に
finally,ついに、ようやく、最後に
slowly,ゆっくりと
quickly,すばやく、速く
suddenly,突然、急に
later,あとで
once,一度、一回、かつては
ever,今までに、これまでに
never,これまでしたことない、決してない
shout,叫ぶ
laugh,笑う
wonderful,だろうかと思う
imagine,想像する
lead,案内する、導く
drive,運転する
push,押す
pull,引く、引っ張る
sound,のように思われる、聞こえrう
appear,現れる、に見える
sign,標識、看板、予兆、合図
area,地域、区域
power,力、能力、権力
feeling,感情、気持ち、感覚
surprise,驚き、びっくりすること
tear,涙
action,行動、行為
pair,一対、一組
step,一歩、あゆみ
practice,練習、習慣、実行
